slug,episode,operator,used_for
tailscale,003,Ian Kilpatrick,Running a private VPN funnel to keep sensitive agent work off the open internet
firecrawl,003,Ian Kilpatrick,Scraping pages at scale to feed the agent
kimi,003,Ian Kilpatrick,Tried as a low-cost model brain for OpenClaw
kimi,004,Justin Novak,Serving as the cheap model swapped into Hermes
claude,003,Ian Kilpatrick,Powering his original OpenClaw agent's model brain (Opus 4.6)
claude,004,Justin Novak,Building the Slow Hand Remodeling and AI4NTP sites from mockups
claude,005,"Alec Saluga, Justin Novak, and Ian Kilpatrick","Ideating brands, rebuilding Milk and Cookies, writing copy, and critiquing Sunday Crumb design passes"
claude,006,Ian Kilpatrick,Brainstorming and building the first version of the Saints Classical LMS
github,003,Ian Kilpatrick,Hosting the code agents write and OpenClaw's open source versions
github,005,Alec Saluga,Explaining the code handoff layer Lovable skips for first publish
sendgrid,003,Ian Kilpatrick,Sent bulk email at scale; the source of Ian's API-key security lesson
gohighlevel,004,Justin Novak,Querying James's pipeline by voice in a live agentic CRM demo
n8n,004,Alec Saluga,Scraping live creator stats and pushing them to a client's website
higgsfield,004,Alec Saluga,Comparing image and video model outputs and generating UGC videos
higgsfield,005,Alec Saluga,"Generating logos, comparing image models, and creating AI UGC concepts for Crumb"
higgsfield,006,Alec Saluga,Generating a quick explainer graphic minutes before the session
spyfu,004,Alec Saluga,"Pulling a list of current advertisers by keyword via its API, fed to Codex"
figma,004,Justin Novak,Light wireframing and layout mockups before handoff to Claude Design
figma,005,Justin Novak,An ideation surface for shaping the first Milk and Cookies brand direction
figma,006,Justin Novak,Mapping the content-engine system of agents
canva,004,Justin Novak,Assembling mockups and assets that feed into Claude Design
hermes,004,Justin Novak,"Demoing persistent memory, skills, cron jobs, and live cohort analysis"
gemini,005,Alec Saluga,Powering the Nano Banana cookie-logo mockup for Crumb B2B
grok,005,Alec Saluga,Compare as one of the models available inside Higgsfield for swapping outputs.
visual-studio-code,005,Justin Novak,Hosting the local workspace for building Milk and Cookies with Claude Code
vercel,005,Justin Novak and Alec Saluga,Deploying the Milk and Cookies AI-built app to a live URL
dafont,005,Justin Novak,Finding fonts to shape the Milk and Cookies bakery brand
postgres,005,Justin Novak,Storing production marketplace data for Milk and Cookies
trpc,005,Justin Novak,Serving as a possible production API layer for Milk and Cookies
stripe,005,Justin Novak,Handling production payments and subscriptions for Milk and Cookies
twilio,005,Justin Novak,Handling production SMS and notifications for Milk and Cookies
instantly,006,Alec Saluga,Sending AI-personalized cold email at scale (112 opportunities in a week)
miro,006,Alec Saluga,Mapping and presenting the iMessage appointment-setter workflow
