slug,name,category,website,tagline,what_is,ai4ntp_take,who_for,pricing_summary,free_tier,g2_score,g2_reviews,g2_as_of,g2_source,is_private,is_network,affiliate_url,alternatives,updated
wispr-flow,Wispr Flow,AI assistants & research,https://wisprflow.ai,AI voice dictation that lets you prompt by talking instead of typing.,"Wispr Flow is a voice dictation app that turns speech into clean, formatted text in real time. Instead of typing, you talk, and Flow transcribes what you say while auto-correcting mistakes and adjusting punctuation as you go.

It works inside the apps you already use, including email, documents, chat, and the prompt boxes of AI tools, so anywhere you would normally type, you can speak instead. Wispr Flow offers a free tier, with a paid plan for heavier use.","Alec uses Wispr Flow daily to prompt his AI tools by voice instead of typing. In Episode 002, he used it to voice-prompt the tools that built GotoBuild, an AI workout planner, in under an hour. In Episode 004, Justin ran voice dictation with live auto-correct throughout a session testing seven lesser-known AI tools. In Episode 005, Justin and Alec both dictated the long prompts covering brand, product, and Lovable build context for three companies built live in one hour, including the bakery brand Milk and Cookies.

We keep it in the stack because prompting AI well takes long, specific instructions, and typing them out tempts you to shortcut the detail. Talking doesn't. Flow lets you think out loud while it cleans up your stumbles into a finished paragraph. The takeaway for any operator: if your prompts are short because typing them is tedious, voice removes that excuse, and it works with any AI tool, not just one.","Wispr Flow is built for anyone who writes on a computer, not just developers or power users. If you can talk, you can use it: install it, hit a shortcut, and speak instead of type. It is especially useful if you use AI tools regularly, since writing good prompts means writing a lot, and dictating is faster and more natural than typing paragraphs by hand. No coding or technical setup is required beyond installing the app.",Free tier available; paid plan for more usage.,true,,,,,,,,,2026-07-01
midjourney,Midjourney,Design & brand,https://www.midjourney.com,"Text-to-image model for logos, moodboards, and visual direction.","Midjourney is a text-to-image AI model. You type a written description and it generates a set of image options built from it, usually through Discord or Midjourney's own web app.

It's one of the most widely used tools for concept art, logo ideas, and mood boards, giving you a fast way to explore what a brand or product could look like before a designer touches it. Midjourney has historically leaned toward stylized, painterly output over strict photorealism, which makes it especially good for direction-setting work: logos, moodboards, and visual identity, rather than finished production assets.","Ian used Midjourney to generate the logo and visual moodboard for GotoBuild, the AI workout planner built live in Episode 002. Justin has used it too. In Episode 004, on 7 AI tools you have never heard of, he used it for creative ideation and prompt-to-image work on merch and site mockups. In Episode 005, building three real companies in one hour including the bakery Milk and Cookies, he used it to generate the early logo and brand directions for that brand.

We keep Midjourney in the stack because it's still the fastest way to go from a one-line idea to a wall of visual directions you can react to. The practical takeaway if you are not a designer: the value isn't in learning prompt syntax, it's in speed. You can react to a handful of logo or brand directions in the time it would take to brief a human designer, then hand the one you like off to someone to finish properly.","Midjourney is a genuinely approachable tool. There's no coding involved: you type what you want to see in plain English and get images back. The one real hurdle is the interface: Midjourney runs through Discord (or its own web app now), which can feel unfamiliar the first time you open it. Once you're past that, prompting is closer to describing a vision to a designer than programming a computer, so it's a strong fit if you want fast visual direction without hiring one.",Paid; ~$29/mo on the tier Ian used (limited free trial).,false,,,,,,,,higgsfield,2026-07-01
behance,Behance,Design & brand,https://www.behance.net,Adobe's portfolio network for design inspiration and trend-reading.,"Behance is Adobe's online portfolio network, a place where designers, illustrators, photographers, and other creative professionals publish finished projects for anyone to browse. Instead of stock photos or templates, you're looking at real work: full brand identity systems, packaging concepts, app interfaces, illustration series, organized by category, industry, and style.

It's free to browse, and free to create an account if you want to save projects or follow specific creators. Most people use it the way you'd flip through a design magazine: not to build anything inside it, but to see what good work in a given space actually looks like.","Ian opens Behance first when a brand needs direction. In Episode 002, building GotoBuild (an AI workout planner) from a live audience brief in under an hour, he used it for design inspiration and trend-reading before any assets got made. Justin does the same on the content side: in Episode 004 he named it alongside Midjourney as a creative-inspiration gallery, and in Episode 005, shaping the brand direction for the bakery Milk and Cookies, he browsed it for visual inspiration before locking in a look.

Behance stays in the stack because it's a reality check on taste. AI tools can generate dozens of brand options, but they don't know what's overused or what a given industry's design language looks like right now. Behance does. The practical takeaway: before you prompt an AI tool for a logo, palette, or brand look, spend ten minutes browsing Behance in your category first. You'll walk in with a clearer sense of what good looks like and get sharper output because you can describe it.","Behance is about as simple as tools get: there's nothing to configure and no workflow to learn. You search or browse by category, and you look at what comes up. You don't need a design background to use it, only an eye for what you're drawn to. It's most useful in the ten minutes before you start a brand or design project, as a way to gather reference and figure out what ""good"" looks like in your space before you touch an AI tool.",Free.,true,,,,,,,,,2026-07-01
pexels,Pexels,Design & brand,https://www.pexels.com,"Free, rights-clear stock photography.","Pexels is a free stock photo and video library. Every asset is published under the Pexels License, which means you can download it, use it commercially, and edit it without paying a fee or crediting the photographer. There is no watermark, and you do not need an account to download.

The library is curated rather than endless, so the average quality is high and the results skew modern and editorial. Pexels also offers a free API, and it has been part of Canva since 2019, which is why many of the same photos show up inside Canva's editor.","Ian Kilpatrick reached for Pexels during the Episode 002 build, when the room voted to create GotoBuild, an AI workout planner, in under an hour. Before touching layout, he used Pexels to set photo direction: pulling real, rights-clear imagery that showed how the brand should feel, so the visual direction was grounded in actual photography instead of guesswork.

We keep Pexels in the stack because it removes the two things that slow a fast brand build down: cost and licensing risk. When you are shipping a real company the same day you name it, you cannot stop to clear rights on every image. Pexels is free and commercial-safe by default, so the photo you drop into a hero section at minute forty is a photo you can legally keep.","Yes. Pexels is about as non-technical as a tool gets. You type what you want, download the result, and use it, with no license to decode, no account to create, and nothing to install. If you have ever hesitated to use an image because you were not sure you were allowed to, Pexels removes that question entirely.","Free. Every photo and video is covered by the Pexels License, including for commercial use.",true,,,,,,,,,2026-06-05
google-fonts,Google Fonts,Design & brand,https://fonts.google.com,"Free, open-source web type library.","Google Fonts is a free, open-source library of web typefaces hosted by Google. It holds a large, constantly growing collection of font families, from classic serifs to modern sans-serifs, and licenses every one of them for free commercial and personal use, with the stated goal of making the web more beautiful, fast, and open through good typography.

You browse the library by style or name, preview any font with your own text, and either link to it directly in a website's code or download the files to use elsewhere. It's a standard, no-cost way to give a brand a clean, professional look.","In Episode 002, where the team built a company with AI in under an hour (the voted brief was GotoBuild, an AI workout planner), Ian Kilpatrick used Google Fonts as the brand's type system. He reached for Archivo, a clean geometric sans, to give GotoBuild a polished look fast, without commissioning custom type or paying for a licensed font.

We keep Google Fonts in the stack because it removes an entire category of friction: no licensing questions, no invoices, no waiting on a designer to hand over font files. Every family works instantly in a browser and drops cleanly into a website's code or any design tool that accepts font files. The practical takeaway for an operator building a brand fast: typography is one of the quickest ways to make an AI-built brand look intentional, and Google Fonts lets you make that call in minutes instead of treating it as an afterthought.","Google Fonts is one of the easiest tools in this directory to use. You don't need to know any code to browse the library, preview a typeface with real text, and decide what fits a brand. Picking a font is entirely a visual, click-and-preview decision. The one technical step, actually wiring a font into a live website, is usually handled by your site builder, developer, or the AI doing the build, so you can focus on choosing the look and never touch the code yourself.",Free.,true,,,,,,,,,2026-06-05
brand-sauce,Brand Sauce,Design & brand,https://www.brandsauce.io,Custom company swag stores for $1 a month.,"Brand Sauce is a platform for building custom, branded company swag stores. It gives a company access to more than a million premium products, on-demand fulfillment, and no order minimums, so a team can launch its own storefront without holding inventory or managing shipping.

Setup and support are handled end to end, from building the store to getting orders to each recipient's doorstep. Plans start at $1 a month.","Brand Sauce is Ian Kilpatrick's own company, and it's the live case study behind his programmatic SEO breakdown in Episode 001. Ian used Brand Sauce's actual site to walk through an 8,000-page programmatic SEO deploy that took the site from zero indexed pages to thousands, showing how the strategy performs on a real production business instead of a slide deck.

We keep Brand Sauce in the stack because it's proof, not theory: a real company running the same SEO tactics we teach, at production scale. For an operator, the lesson isn't to go build 8,000 pages overnight. It's that programmatic SEO is learnable and repeatable once you watch someone execute it on a live business, and Brand Sauce is the example we point to when we want to show what that looks like in practice.","Brand Sauce isn't really an AI tool you sit down and use, it's a swag store platform, and the AI4NTP angle is watching how it was built and grown, specifically the programmatic SEO strategy behind it. If you run a company and want a branded swag store, Brand Sauce is straightforward: pick products, launch a store, done. If you're here to learn programmatic SEO, treat Brand Sauce as the case study to study, not a tool to sign up for.",From $1/mo (stated on the live).,false,,,,,,true,,,2026-06-05
beehiiv,Beehiiv,Marketing & growth,https://www.beehiiv.com,Newsletter platform where you own your audience.,"Beehiiv is a newsletter platform built for creating, growing, and monetizing an email newsletter from one dashboard. You write and send issues, manage your subscriber list, and track opens and clicks without touching any code. It also includes built-in growth tools, like referral programs and a network for cross-promoting with other newsletters, plus ways to monetize directly through paid subscriptions or ads.

Beehiiv can host a simple website for your newsletter too, so you don't need a separate site builder. The pitch is ownership: your list and your content live on a platform you control, not rented space inside someone else's algorithm.","Beehiiv is where Justin ships AI4NTP's own newsletter, and it's wired directly into our signup pipeline, so someone who joins the list lands in a system built to send and grow from. It's also proven on air: in Episode 002, when AI4NTP built GotoBuild, an AI workout planner, from scratch in under an hour, Justin used Beehiiv to ship GotoBuild's first newsletter live in front of the audience.

We keep Beehiiv in the stack because it handles the unglamorous parts of running a newsletter, list management, sending, and basic growth tools, without requiring anyone to touch code or stitch together separate services. A newsletter is one of the fastest ways to own an audience instead of renting one from a platform, and Episode 002 proved Beehiiv can get a working list and site live fast, on camera, in under an hour.","Beehiiv is built for people who write, not people who code. If you can write an email, you can run a newsletter on Beehiiv: the editor, subscriber list, and send tools are all point-and-click, and the free tier lets you start without committing to a paid plan. It's the right fit for solo creators, small businesses, and anyone who wants a direct line to their audience instead of depending on social platforms to show up in someone's feed.",Free tier available; paid plans for scale.,true,,,,,,,,,2026-06-05
echo-check,Echo Check,Marketing & growth,https://echocheck.app,"LLM visibility scoring: see how you rank in ChatGPT, Perplexity, Claude, and Gemini.","Echo Check scores how a brand shows up when people ask AI assistants for recommendations instead of searching Google. Point it at your website, and it checks how ChatGPT, Perplexity, Claude, and Gemini describe your business, whether they recommend you at all, and how you compare to competitors in the same space.

That produces a visibility score you can track over time, the same way you'd track search rankings, but for the AI answer engines more people are turning to instead of typing a query into a browser. Echo Check runs on a free plan that covers most use cases.","Ian Kilpatrick built Echo Check. In Episode 001, on how marketers are actually using AI to grow, he used it to measure his own LLM and answer-engine visibility. He pointed the tool at a site, let it scan and score how the brand showed up across ChatGPT, Perplexity, Claude, and Gemini, and used that score as a read on whether the AI actually knew the business and would recommend it.

We keep Echo Check in the stack because it was built for marketers, not engineers: no code, no setup, just a domain in and a score out. The free plan covers most use cases, so there's no reason not to check your own number before spending more time or budget chasing AI visibility. The practical takeaway: if you don't know your Echo Check score, you don't know how ChatGPT, Perplexity, Claude, and Gemini are already describing your business to the people asking them for a recommendation.","Echo Check is built for marketers, not engineers. You give it a website, it scans and scores automatically, and you read the result the way you'd read any ranking report, no code and no technical setup required. If you already care about SEO or brand mentions, this is the same instinct applied to ChatGPT, Perplexity, Claude, and Gemini. The free plan covers most use cases, so it costs nothing to check your own score first.",Free plan covers most use cases.,true,,,,,,true,,,2026-07-13
apollo-io,Apollo.io,Marketing & growth,https://www.apollo.io,Lead and contact database for prospecting.,"Apollo.io is a sales intelligence platform built around a database of business contacts and companies. You search by role, industry, company size, or location, then pull verified emails and phone numbers for the people you find. It also includes tools for email sequencing, call tracking, and enriching existing CRM records with current contact details.

Most operators use it simply for the contact database: build a list, then export or sync it into whatever outreach tool runs the actual emails. A free tier gives limited monthly credits, and paid plans raise that cap.","When a cold-outreach question came up during the Episode 002 Q&A, Alec Saluga pointed to Apollo.io as the off-the-shelf answer rather than something to build from scratch. He uses it for prospect and contact data, pulling verified emails for the accounts he wants to reach, so outreach starts with a real contact instead of a guessed inbox.

We keep Apollo.io in the stack because it removes the one step nobody wants to build by hand: a clean, current database of contacts. That means no scraper and no developer. You search Apollo's filters, export the list, and load it straight into your outreach tool. Start on the free tier to see whether the data actually moves a campaign before paying for more credits.","Apollo.io is one of the more approachable tools in this directory. There is no code and no setup beyond creating an account: if you can use filters and export a spreadsheet, you can build a working prospect list. The one thing to manage is credits: free plans cap how many contacts you can reveal each month, so a tightly targeted list goes further than a broad one.",Free tier available; paid plans for more credits.,true,,,,,,,,apify,2026-06-05
apify,Apify,Marketing & growth,https://apify.com,"Web scraping and automation platform, including a Google Maps scraper.","Apify is a cloud platform for web scraping, browser automation, and pulling data for AI projects. Instead of writing your own scraping code, you can run any of more than 35,000 ready-made tools, called Actors, that pull data from sites like Google Maps and other platforms.

You pick an Actor, enter what you're looking for, such as a keyword, a location, or a profile URL, and it returns structured data you can export as a spreadsheet or feed into another tool. Apify also lets developers build custom scrapers and automation workflows when the pre-made ones don't fit.","Alec Saluga used Apify's free-tier Google Maps scraper in Episode 002 to pull a prospect list by keyword and geo while testing how fast an AI-built company could source real leads. He came back to Apify in Episode 004, one of seven under-the-radar AI tools featured that episode, this time using its off-the-shelf scrapers for social platforms to pull data for prospecting instead of coding a custom crawler.

We keep Apify in the stack because the Google Maps Actor does, for free, what tools like Apollo.io charge for: a targeted list of businesses by category and location, ready to plug into outreach. The practical takeaway is that you don't need a developer or a paid data provider to build a first prospect list. You need a keyword, a place, and a few minutes on Apify's free tier before you decide whether a paid tool is worth it.","Apify itself is a developer platform underneath. It's built around code templates, APIs, and configurable scraping jobs, and the full toolset assumes some technical comfort. But the specific use we recommend, running the pre-built Google Maps Actor, is simple: you enter a search term and a location and download a list, no code required. Treat Apify as a tool where you use one packaged feature rather than the platform at large, and leave the rest of it to the developers.",Free tier available; usage-based paid plans.,true,,,,,,,,"apollo-io, firecrawl",2026-07-13
